query	qLen	target	tLen	qCov	tCov	qstart	qend	tstart	tend	fid_orig	xid	hid	tid	fid	xname	hname	tname	fname	PHROGS1_function	PHROGS2_function	RBP-cluster	RBP-class	TF-class	evalue	bits	domain	Genome_name	Morphology
LIT_063_KL1_PROTEIN_8	651	2491358	451	0.84	0.97	11	558	4	440	207.2.1.118	207	207.2	207.2.1	207.2.1.118	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	UNK_F_TYPE	***  tail fiber protein	***  tail spike protein	RBP14	tailspike depolymerase		1.56e-05	154	207.2.1:Pectin lyase-like	LIT_063_KL1	Podovirus
LIT_064_KL36KL39_PROTEIN_55	791	198885	374	0.43	0.97	294	636	2	365	207.2.1.83	207	207.2	207.2.1	207.2.1.83	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	Glyco_hydro_120	***  tail fiber protein	***  colanic acid degradation	RBP8	tailspike depolymerase		2.584e-06	193	207.2.1:Pectin lyase-like	LIT_064_KL36KL39	Podovirus
LIT_064_KL36KL39_PROTEIN_8	667	1679987	132	0.18	0.92	545	666	1	121	3240.1.1	3240	3240.1	3240.1.1	3240.1.1.None	NO_X_NAME	NO_H_NAME	Intramolecular chaperone domain in virus tail spike protein	Peptidase_S74	***  tail spike protein	***  tail fiber protein	RBP45	tailspike depolymerase with fiber-like elements		5.155e-11	504	3240.1.1:Intramolecular chaperone domain in virus tail spike protein	LIT_064_KL36KL39	Podovirus
LIT_064_KL36KL39_PROTEIN_8	667	2546335	402	0.5	0.79	34	369	10	328	207.2.1.28	207	207.2	207.2.1	207.2.1.28	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	Glyco_hydro_28	***  tail spike protein	***  tail fiber protein	RBP45	tailspike depolymerase with fiber-like elements		5.245e-07	165	207.2.1:Pectin lyase-like	LIT_064_KL36KL39	Podovirus
LIT_065_KL66_PROTEIN_60	779	2491363	452	0.62	0.95	269	753	9	438	207.2.1.111	207	207.2	207.2.1	207.2.1.111	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	Pectate_lyase_3,Glyco_hydro_120	***  colanic acid degradation	***  tail fiber protein	RBP68	tailspike depolymerase		6.081e-06	140	207.2.1:Pectin lyase-like	LIT_065_KL66	Podovirus
LIT_066_KL72_PROTEIN_53	724	1148136	162	0.14	0.6	175	274	64	160	3856.1.1.1	3856	3856.1	3856.1.1	3856.1.1.1	NO_X_NAME	NO_H_NAME	Putative tailspike protein Orf210 N-terminal domain	EUF07849	***  tail fiber protein	***  tail spike protein	RBP69	HRP29 tail-like variant 2		2.36e-07	235	3856.1.1:Putative tailspike protein Orf210 N-terminal domain	LIT_066_KL72	Podovirus
LIT_067_KL40_PROTEIN_56	931	184924	437	0.59	0.97	196	742	1	423	207.2.1.27	207	207.2	207.2.1	207.2.1.27	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	Pectate_lyase_3	***  tail fiber protein	***  tail spike protein	RBP70	tailspike depolymerase		1.429e-07	232	207.2.1:Pectin lyase-like	LIT_067_KL40	Podovirus
LIT_069_KL51_PROTEIN_9	787	2491363	452	0.9	0.98	76	787	10	452	207.2.1.111	207	207.2	207.2.1	207.2.1.111	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	Pectate_lyase_3,Glyco_hydro_120	***  tail fiber protein	***  tail spike protein	RBP25	tailspike depolymerase		1.342e-06	133	207.2.1:Pectin lyase-like	LIT_069_KL51	Podovirus
LIT_070_KL17KL62_PROTEIN_17	696	2491363	452	0.84	0.99	111	696	6	452	207.2.1.111	207	207.2	207.2.1	207.2.1.111	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	Pectate_lyase_3,Glyco_hydro_120	***  tail spike protein	***  tail fiber protein	RBP72	tailspike depolymerase		2.052e-09	238	207.2.1:Pectin lyase-like	LIT_070_KL17KL62	Podovirus
LIT_070_KL17KL62_PROTEIN_19	764	198885	374	0.53	0.98	276	679	3	370	207.2.1.83	207	207.2	207.2.1	207.2.1.83	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	Glyco_hydro_120	***  tail fiber protein	**   tail protein	RBP73	tailspike depolymerase		1.334e-06	205	207.2.1:Pectin lyase-like	LIT_070_KL17KL62	Podovirus
LIT_071_KL18KL60_PROTEIN_53	707	2546335	402	0.47	0.81	106	440	5	328	207.2.1.28	207	207.2	207.2.1	207.2.1.28	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	Glyco_hydro_28	***  tail spike protein	**   unknown function	RBP74	tailspike depolymerase		0.0003018	128	207.2.1:Pectin lyase-like	LIT_071_KL18KL60	Podovirus
LIT_071_KL18KL60_PROTEIN_55	901	2409669	376	0.5	0.99	252	706	1	374	207.2.1.119	207	207.2	207.2.1	207.2.1.119	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	UNK_F_TYPE	***  tail fiber protein	***  tail spike protein	RBP75	tailspike depolymerase		3.42e-09	276	207.2.1:Pectin lyase-like	LIT_071_KL18KL60	Podovirus
LIT_071_KL18KL60_PROTEIN_55	901	2409668	163	0.18	0.82	736	895	29	162	10.1.2.16	10	10.1	10.1.2	10.1.2.16	jelly-roll	Concanavalin A-like	Galactose-binding domain-like	CBM_4_9	***  tail fiber protein	***  tail spike protein	RBP75	tailspike depolymerase		0.0001965	135	10.1.2:Galactose-binding domain-like	LIT_071_KL18KL60	Podovirus
LIT_072_Kn_PROTEIN_7	448	1839974	282	0.6	0.98	6	276	5	281	1083.1.1.2	1083	1083.1	1083.1.1	1083.1.1.2	NO_X_NAME	NO_H_NAME	Phage T4 gp12 N-terminal repeating units	gp12-short_mid_N	***  tail collar fiber protein	***  tail fiber protein proximal subunit	RBP65	TC17-like tail fiber		1.566e-20	418	1083.1.1:Phage T4 gp12 N-terminal repeating units	LIT_072_Kn	Myovirus
LIT_073_KL23KL54KL58_PROTEIN_101	607	1144443	458	0.72	0.93	77	514	2	425	207.2.1.28	207	207.2	207.2.1	207.2.1.28	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	Glyco_hydro_28	***  tail fiber protein	***  colanic acid degradation	RBP77	tailspike depolymerase		7.131e-07	205	207.2.1:Pectin lyase-like	LIT_073_KL23KL54KL58	Myovirus
LIT_073_KL23KL54KL58_PROTEIN_94	348	2559738	367	0.83	0.97	60	348	2	357	79.1.1.69	79	79.1	79.1.1	79.1.1.69	NO_X_NAME	NO_H_NAME	Phage tail fiber protein trimerization domain	34_1st	***  tail fiber protein	***  tail fiber protein; Ig-domain containing	RBP32	vequintavirinae-like short tail fiber	TC1	1.02e-09	236	79.1.1:Phage tail fiber protein trimerization domain	LIT_073_KL23KL54KL58	Myovirus
LIT_073_KL23KL54KL58_PROTEIN_97	275	1679987	132	0.44	0.94	153	273	1	124	3240.1.1	3240	3240.1	3240.1.1	3240.1.1.None	NO_X_NAME	NO_H_NAME	Intramolecular chaperone domain in virus tail spike protein	Peptidase_S74	***  tail spike protein	***  tail fiber protein	RBP31	TC12/TC17-like tail fiber in mydovirus		1.602e-08	250	3240.1.1:Intramolecular chaperone domain in virus tail spike protein	LIT_073_KL23KL54KL58	Myovirus
LIT_074_KL24KL54KL58_PROTEIN_59	348	2559738	367	0.83	0.97	60	348	2	357	79.1.1.69	79	79.1	79.1.1	79.1.1.69	NO_X_NAME	NO_H_NAME	Phage tail fiber protein trimerization domain	34_1st	***  tail fiber protein	***  tail fiber protein; Ig-domain containing	RBP32	vequintavirinae-like short tail fiber	TC1	4.319e-10	243	79.1.1:Phage tail fiber protein trimerization domain	LIT_074_KL24KL54KL58	Myovirus
LIT_074_KL24KL54KL58_PROTEIN_62	275	1679987	132	0.44	0.94	153	273	1	124	3240.1.1	3240	3240.1	3240.1.1	3240.1.1.None	NO_X_NAME	NO_H_NAME	Intramolecular chaperone domain in virus tail spike protein	Peptidase_S74	***  tail spike protein	***  tail fiber protein	RBP31	TC12/TC17-like tail fiber in mydovirus		2.796e-08	247	3240.1.1:Intramolecular chaperone domain in virus tail spike protein	LIT_074_KL24KL54KL58	Myovirus
LIT_074_KL24KL54KL58_PROTEIN_66	632	2485645	88	0.15	0.98	39	131	3	88	3856.1.2.1	3856	3856.1	3856.1.2	3856.1.2.1	NO_X_NAME	NO_H_NAME	tailspike protein Orf211 N-terminal domain	UNK_F_TYPE	***  tail fiber protein	***  EPS depolymerase	RBP27	tailspike depolymerase		0.0005373	206	3856.1.2:tailspike protein Orf211 N-terminal domain	LIT_074_KL24KL54KL58	Myovirus
LIT_075_KL18_PROTEIN_73	348	2559738	367	0.83	0.97	60	348	2	357	79.1.1.69	79	79.1	79.1.1	79.1.1.69	NO_X_NAME	NO_H_NAME	Phage tail fiber protein trimerization domain	34_1st	***  tail fiber protein	***  tail fiber protein; Ig-domain containing	RBP32	vequintavirinae-like short tail fiber	TC1	1.263e-09	234	79.1.1:Phage tail fiber protein trimerization domain	LIT_075_KL18	Myovirus
LIT_075_KL18_PROTEIN_76	278	1679987	132	0.44	0.94	156	276	1	124	3240.1.1	3240	3240.1	3240.1.1	3240.1.1.None	NO_X_NAME	NO_H_NAME	Intramolecular chaperone domain in virus tail spike protein	Peptidase_S74	***  tail spike protein	***  tail fiber protein	RBP31	TC12/TC17-like tail fiber in mydovirus		7.814e-09	254	3240.1.1:Intramolecular chaperone domain in virus tail spike protein	LIT_075_KL18	Myovirus
LIT_075_KL18_PROTEIN_80	549	2409668	163	0.25	0.83	415	549	29	163	10.1.2.16	10	10.1	10.1.2	10.1.2.16	jelly-roll	Concanavalin A-like	Galactose-binding domain-like	CBM_4_9	***  colanic acid degradation	***  tail spike protein with colonic acid degradation activity	RBP80	tailspike depolymerase		2.812e-05	187	10.1.2:Galactose-binding domain-like	LIT_075_KL18	Myovirus
LIT_075_KL18_PROTEIN_80	549	2409669	376	0.57	0.81	76	390	65	370	207.2.1.119	207	207.2	207.2.1	207.2.1.119	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	UNK_F_TYPE	***  colanic acid degradation	***  tail spike protein with colonic acid degradation activity	RBP80	tailspike depolymerase		0.0001821	169	207.2.1:Pectin lyase-like	LIT_075_KL18	Myovirus
LIT_075_KL18_PROTEIN_83	250	1684835	142	0.58	0.96	101	246	4	140	10.1.2.109	10	10.1	10.1.2	10.1.2.109	jelly-roll	Concanavalin A-like	Galactose-binding domain-like	CBM_35	-	-	RBP81	xylanase containing tail fiber		2.572e-06	203	10.1.2:Galactose-binding domain-like	LIT_075_KL18	Myovirus
LIT_076_KL45KL71_PROTEIN_111	348	2559738	367	0.83	0.97	60	348	2	357	79.1.1.69	79	79.1	79.1.1	79.1.1.69	NO_X_NAME	NO_H_NAME	Phage tail fiber protein trimerization domain	34_1st	***  tail fiber protein	***  tail fiber protein; Ig-domain containing	RBP32	vequintavirinae-like short tail fiber	TC1	1.336e-09	233	79.1.1:Phage tail fiber protein trimerization domain	LIT_076_KL45KL71	Myovirus
LIT_076_KL45KL71_PROTEIN_114	277	1679987	132	0.44	0.94	155	275	1	124	3240.1.1	3240	3240.1	3240.1.1	3240.1.1.None	NO_X_NAME	NO_H_NAME	Intramolecular chaperone domain in virus tail spike protein	Peptidase_S74	***  tail spike protein	***  tail fiber protein	RBP31	TC12/TC17-like tail fiber in mydovirus		1.429e-08	256	3240.1.1:Intramolecular chaperone domain in virus tail spike protein	LIT_076_KL45KL71	Myovirus
LIT_076_KL45KL71_PROTEIN_115	1131	1694946	206	0.24	0.99	855	1130	2	204	2007.5.1.31	2007	2007.5	2007.5.1	2007.5.1.31	Flavodoxin-like	NO_H_NAME	SGNH hydrolase	Lipase_GDSL_2	***  tail fiber protein	***  tail spike protein	RBP82	TC10-like tail fiber in mydovirus - variant 3		4.644e-05	164	2007.5.1:SGNH hydrolase	LIT_076_KL45KL71	Myovirus
LIT_076_KL45KL71_PROTEIN_115	1131	1148136	162	0.09	0.52	63	161	72	155	3856.1.1.1	3856	3856.1	3856.1.1	3856.1.1.1	NO_X_NAME	NO_H_NAME	Putative tailspike protein Orf210 N-terminal domain	EUF07849	***  tail fiber protein	***  tail spike protein	RBP82	TC10-like tail fiber in mydovirus - variant 3		0.0006853	155	3856.1.1:Putative tailspike protein Orf210 N-terminal domain	LIT_076_KL45KL71	Myovirus
LIT_076_KL45KL71_PROTEIN_115	1131	1140	142	0.11	0.94	308	429	9	141	10.1.2.16	10	10.1	10.1.2	10.1.2.16	jelly-roll	Concanavalin A-like	Galactose-binding domain-like	CBM_4_9	***  tail fiber protein	***  tail spike protein	RBP82	TC10-like tail fiber in mydovirus - variant 3		0.0004993	130	10.1.2:Galactose-binding domain-like	LIT_076_KL45KL71	Myovirus
LIT_076_KL45KL71_PROTEIN_115	1131	2411956	133	0.12	0.93	445	577	8	131	10.1.2.476	10	10.1	10.1.2	10.1.2.476	jelly-roll	Concanavalin A-like	Galactose-binding domain-like	UNK_F_TYPE	***  tail fiber protein	***  tail spike protein	RBP82	TC10-like tail fiber in mydovirus - variant 3		0.0001931	124	10.1.2:Galactose-binding domain-like	LIT_076_KL45KL71	Myovirus
LIT_076_KL45KL71_PROTEIN_115	1131	2706978	180	0.1	0.77	598	713	20	158	10.1.2.16	10	10.1	10.1.2	10.1.2.16	jelly-roll	Concanavalin A-like	Galactose-binding domain-like	CBM_4_9	***  tail fiber protein	***  tail spike protein	RBP82	TC10-like tail fiber in mydovirus - variant 3		0.0007616	107	10.1.2:Galactose-binding domain-like	LIT_076_KL45KL71	Myovirus
LIT_076_KL45KL71_PROTEIN_116	616	184984	515	0.64	0.93	54	449	5	483	207.2.1.28	207	207.2	207.2.1	207.2.1.28	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	Glyco_hydro_28	***  colanic acid degradation	***  tail fiber protein	RBP46	tailspike depolymerase		0.0003126	164	207.2.1:Pectin lyase-like	LIT_076_KL45KL71	Myovirus
LIT_076_KL45KL71_PROTEIN_119	250	1684835	142	0.58	0.96	101	246	4	140	10.1.2.109	10	10.1	10.1.2	10.1.2.109	jelly-roll	Concanavalin A-like	Galactose-binding domain-like	CBM_35	-	-	RBP81	xylanase containing tail fiber		3.441e-06	213	10.1.2:Galactose-binding domain-like	LIT_076_KL45KL71	Myovirus
LIT_078_KL30KL35KL36_PROTEIN_43	791	135790	333	0.42	0.89	338	669	10	305	5.1.4.44	5	5.1	5.1.4	5.1.4.44	beta-propeller-like	beta-propeller	7-bladed	ANAPC4_WD40_6	***  tail protein	*    unknown function	RBP1	T7 gp12 nozzle-like	TC2	2.124e-05	130	5.1.4:7-bladed	LIT_078_KL30KL35KL36	Podovirus
LIT_079_KL74_PROTEIN_46	791	135790	333	0.42	0.89	338	669	10	305	5.1.4.44	5	5.1	5.1.4	5.1.4.44	beta-propeller-like	beta-propeller	7-bladed	ANAPC4_WD40_6	***  tail protein	*    unknown function	RBP1	T7 gp12 nozzle-like	TC2	2.365e-05	128	5.1.4:7-bladed	LIT_079_KL74	Podovirus
LIT_079_KL74_PROTEIN_51	808	1144443	458	0.63	0.98	301	807	2	450	207.2.1.28	207	207.2	207.2.1	207.2.1.28	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	Glyco_hydro_28	***  tail fiber protein	***  colanic acid degradation	RBP85	tailspike depolymerase		0.0003003	96	207.2.1:Pectin lyase-like	LIT_079_KL74	Podovirus
LIT_079_KL74_PROTEIN_52	521	1395398	463	0.75	0.92	36	428	27	454	207.2.1.28	207	207.2	207.2.1	207.2.1.28	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	Glyco_hydro_28	***  tail spike protein	*    tail fiber protein	RBP86	tailspike depolymerase		7.613e-05	164	207.2.1:Pectin lyase-like	LIT_079_KL74	Podovirus
LIT_080_KL11KL57_PROTEIN_40	791	2218	342	0.38	0.89	278	580	38	342	5.1.4.328	5	5.1	5.1.4	5.1.4.328	beta-propeller-like	beta-propeller	7-bladed	ANAPC4_WD40_11	***  tail protein	*    unknown function	RBP1	T7 gp12 nozzle-like	TC2	2.748e-06	131	5.1.4:7-bladed	LIT_080_KL11KL57	Podovirus
LIT_080_KL11KL57_PROTEIN_46	875	2409668	163	0.21	0.96	692	875	7	163	10.1.2.16	10	10.1	10.1.2	10.1.2.16	jelly-roll	Concanavalin A-like	Galactose-binding domain-like	CBM_4_9	***  tail fiber protein	***  EPS depolymerase	RBP24	tailspike depolymerase		2.023e-07	248	10.1.2:Galactose-binding domain-like	LIT_080_KL11KL57	Podovirus
LIT_080_KL11KL57_PROTEIN_46	875	2491347	88	0.09	0.94	273	354	6	88	3856.1.2.4	3856	3856.1	3856.1.2	3856.1.2.4	NO_X_NAME	NO_H_NAME	tailspike protein Orf211 N-terminal domain	UNK_F_TYPE	***  tail fiber protein	***  EPS depolymerase	RBP24	tailspike depolymerase		2.378e-05	225	3856.1.2:tailspike protein Orf211 N-terminal domain	LIT_080_KL11KL57	Podovirus
LIT_080_KL11KL57_PROTEIN_46	875	184924	437	0.41	0.92	330	689	17	416	207.2.1.27	207	207.2	207.2.1	207.2.1.27	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	Pectate_lyase_3	***  tail fiber protein	***  EPS depolymerase	RBP24	tailspike depolymerase		0.0002402	129	207.2.1:Pectin lyase-like	LIT_080_KL11KL57	Podovirus
LIT_080_KL11KL57_PROTEIN_47	570	137131	444	0.68	0.91	28	415	18	420	207.2.1.28	207	207.2	207.2.1	207.2.1.28	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	Glyco_hydro_28	***  tail spike protein	**   colanic acid degradation	RBP87	tailspike depolymerase		3.878e-08	185	207.2.1:Pectin lyase-like	LIT_080_KL11KL57	Podovirus
LIT_080_KL11KL57_PROTEIN_47	570	1209559	157	0.27	0.91	417	570	15	157	10.1.2.16	10	10.1	10.1.2	10.1.2.16	jelly-roll	Concanavalin A-like	Galactose-binding domain-like	CBM_4_9	***  tail spike protein	**   colanic acid degradation	RBP87	tailspike depolymerase		0.0005546	98	10.1.2:Galactose-binding domain-like	LIT_080_KL11KL57	Podovirus
LIT_081_KL58_PROTEIN_41	791	2879001	313	0.38	0.78	280	578	8	251	5.1.4.312	5	5.1	5.1.4	5.1.4.312	beta-propeller-like	beta-propeller	7-bladed	ANAPC4_WD40_8	***  tail protein	*    unknown function	RBP1	T7 gp12 nozzle-like	TC2	6.824e-05	135	5.1.4:7-bladed	LIT_081_KL58	Podovirus
LIT_081_KL58_PROTEIN_48	598	1714446	470	0.85	0.96	1	510	4	454	207.2.1.28	207	207.2	207.2.1	207.2.1.28	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	Glyco_hydro_28	***  tail spike protein	*    tail fiber protein	RBP16	tailspike depolymerase		3.56e-07	220	207.2.1:Pectin lyase-like	LIT_081_KL58	Podovirus
LIT_082_KL26KL74_PROTEIN_44	791	2879001	313	0.35	0.74	300	575	20	250	5.1.4.312	5	5.1	5.1.4	5.1.4.312	beta-propeller-like	beta-propeller	7-bladed	ANAPC4_WD40_8	***  tail protein	*    unknown function	RBP1	T7 gp12 nozzle-like	TC2	6.944e-05	133	5.1.4:7-bladed	LIT_082_KL26KL74	Podovirus
LIT_082_KL26KL74_PROTEIN_49	808	1144443	458	0.63	0.98	301	807	2	450	207.2.1.28	207	207.2	207.2.1	207.2.1.28	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	Glyco_hydro_28	***  tail fiber protein	***  colanic acid degradation	RBP85	tailspike depolymerase		5.447e-05	112	207.2.1:Pectin lyase-like	LIT_082_KL26KL74	Podovirus
LIT_082_KL26KL74_PROTEIN_50	595	2409669	376	0.62	0.98	34	400	5	374	207.2.1.119	207	207.2	207.2.1	207.2.1.119	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	UNK_F_TYPE	***  tail fiber protein	***  EPS depolymerase	RBP27	tailspike depolymerase		8.322e-06	120	207.2.1:Pectin lyase-like	LIT_082_KL26KL74	Podovirus
LIT_083_KL36KL43_PROTEIN_36	791	2218	342	0.38	0.89	278	580	38	342	5.1.4.328	5	5.1	5.1.4	5.1.4.328	beta-propeller-like	beta-propeller	7-bladed	ANAPC4_WD40_11	***  tail protein	*    unknown function	RBP1	T7 gp12 nozzle-like	TC2	7.799e-06	134	5.1.4:7-bladed	LIT_083_KL36KL43	Podovirus
LIT_083_KL36KL43_PROTEIN_41	818	1395398	463	0.52	1.0	287	715	3	464	207.2.1.28	207	207.2	207.2.1	207.2.1.28	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	Glyco_hydro_28	***  tail spike protein	***  tail fiber protein	RBP88	tailspike depolymerase		2.747e-09	290	207.2.1:Pectin lyase-like	LIT_083_KL36KL43	Podovirus
LIT_083_KL36KL43_PROTEIN_42	612	2701717	393	0.54	0.89	45	376	26	374	207.2.1.83	207	207.2	207.2.1	207.2.1.83	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	Glyco_hydro_120	***  tail spike protein	**   unknown function	RBP74	tailspike depolymerase		0.0008089	114	207.2.1:Pectin lyase-like	LIT_083_KL36KL43	Podovirus
LIT_084_KL16_PROTEIN_42	791	2879001	313	0.38	0.78	280	578	8	251	5.1.4.312	5	5.1	5.1.4	5.1.4.312	beta-propeller-like	beta-propeller	7-bladed	ANAPC4_WD40_8	***  tail protein	*    unknown function	RBP1	T7 gp12 nozzle-like	TC2	9.235e-05	131	5.1.4:7-bladed	LIT_084_KL16	Podovirus
LIT_084_KL16_PROTEIN_47	875	2701717	393	0.43	0.91	293	665	10	367	207.2.1.83	207	207.2	207.2.1	207.2.1.83	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	Glyco_hydro_120	***  tail fiber protein	***  tail spike protein	RBP89	tailspike depolymerase		3.558e-07	301	207.2.1:Pectin lyase-like	LIT_084_KL16	Podovirus
LIT_085_KL56_PROTEIN_42	791	135790	333	0.42	0.89	338	669	10	305	5.1.4.44	5	5.1	5.1.4	5.1.4.44	beta-propeller-like	beta-propeller	7-bladed	ANAPC4_WD40_6	***  tail protein	*    unknown function	RBP1	T7 gp12 nozzle-like	TC2	1.534e-05	127	5.1.4:7-bladed	LIT_085_KL56	Podovirus
LIT_085_KL56_PROTEIN_47	792	1144443	458	0.63	0.98	293	792	1	449	207.2.1.28	207	207.2	207.2.1	207.2.1.28	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	Glyco_hydro_28	***  tail fiber protein	***  EPS depolymerase	RBP90	tailspike depolymerase		3.521e-09	224	207.2.1:Pectin lyase-like	LIT_085_KL56	Podovirus
LIT_085_KL56_PROTEIN_48	678	2409669	376	0.65	0.96	32	469	2	363	207.2.1.119	207	207.2	207.2.1	207.2.1.119	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	UNK_F_TYPE	***  tail fiber protein	***  EPS depolymerase	RBP24	tailspike depolymerase		1.721e-06	208	207.2.1:Pectin lyase-like	LIT_085_KL56	Podovirus
LIT_085_KL56_PROTEIN_48	678	2409668	163	0.29	0.94	482	678	11	163	10.1.2.16	10	10.1	10.1.2	10.1.2.16	jelly-roll	Concanavalin A-like	Galactose-binding domain-like	CBM_4_9	***  tail fiber protein	***  EPS depolymerase	RBP24	tailspike depolymerase		1.985e-05	149	10.1.2:Galactose-binding domain-like	LIT_085_KL56	Podovirus
LIT_086_KL48_PROTEIN_43	791	2879001	313	0.35	0.74	300	578	20	251	5.1.4.312	5	5.1	5.1.4	5.1.4.312	beta-propeller-like	beta-propeller	7-bladed	ANAPC4_WD40_8	***  tail protein	*    unknown function	RBP1	T7 gp12 nozzle-like	TC2	0.0002052	128	5.1.4:7-bladed	LIT_086_KL48	Podovirus
LIT_086_KL48_PROTEIN_49	763	2409668	163	0.18	0.83	630	763	29	163	10.1.2.16	10	10.1	10.1.2	10.1.2.16	jelly-roll	Concanavalin A-like	Galactose-binding domain-like	CBM_4_9	***  tail fiber protein	***  tail spike protein	RBP91	tailspike depolymerase		1.709e-05	196	10.1.2:Galactose-binding domain-like	LIT_086_KL48	Podovirus
LIT_086_KL48_PROTEIN_49	763	184924	437	0.44	0.95	272	608	22	437	207.2.1.27	207	207.2	207.2.1	207.2.1.27	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	Pectate_lyase_3	***  tail fiber protein	***  tail spike protein	RBP91	tailspike depolymerase		1.631e-05	180	207.2.1:Pectin lyase-like	LIT_086_KL48	Podovirus
LIT_086_KL48_PROTEIN_50	521	10060	282	0.46	0.79	38	277	2	225	2007.5.1.3	2007	2007.5	2007.5.1	2007.5.1.3	Flavodoxin-like	NO_H_NAME	SGNH hydrolase	SASA	***  tail fiber protein	*    tail spike protein	RBP4	putative esterase containing tailspike		6.701e-10	278	2007.5.1:SGNH hydrolase	LIT_086_KL48	Podovirus
LIT_087_KL82_PROTEIN_39	791	2879001	313	0.38	0.78	280	578	8	251	5.1.4.312	5	5.1	5.1.4	5.1.4.312	beta-propeller-like	beta-propeller	7-bladed	ANAPC4_WD40_8	***  tail protein	*    unknown function	RBP1	T7 gp12 nozzle-like	TC2	9.495e-05	128	5.1.4:7-bladed	LIT_087_KL82	Podovirus
LIT_087_KL82_PROTEIN_44	792	1144443	458	0.63	0.98	293	792	1	449	207.2.1.28	207	207.2	207.2.1	207.2.1.28	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	Glyco_hydro_28	***  tail fiber protein	***  EPS depolymerase	RBP90	tailspike depolymerase		7.086e-10	224	207.2.1:Pectin lyase-like	LIT_087_KL82	Podovirus
LIT_087_KL82_PROTEIN_45	638	2409668	163	0.27	0.91	464	636	14	162	10.1.2.16	10	10.1	10.1.2	10.1.2.16	jelly-roll	Concanavalin A-like	Galactose-binding domain-like	CBM_4_9	***  tail fiber protein	***  EPS depolymerase	RBP18	tailspike depolymerase		3.729e-06	194	10.1.2:Galactose-binding domain-like	LIT_087_KL82	Podovirus
LIT_087_KL82_PROTEIN_45	638	2409669	376	0.65	0.99	34	447	1	373	207.2.1.119	207	207.2	207.2.1	207.2.1.119	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	UNK_F_TYPE	***  tail fiber protein	***  EPS depolymerase	RBP18	tailspike depolymerase		2.459e-05	184	207.2.1:Pectin lyase-like	LIT_087_KL82	Podovirus
LIT_088_KL2KL37_PROTEIN_41	791	2879001	313	0.35	0.74	300	578	20	251	5.1.4.312	5	5.1	5.1.4	5.1.4.312	beta-propeller-like	beta-propeller	7-bladed	ANAPC4_WD40_8	***  tail protein	*    unknown function	RBP1	T7 gp12 nozzle-like	TC2	0.000136	132	5.1.4:7-bladed	LIT_088_KL2KL37	Podovirus
LIT_088_KL2KL37_PROTEIN_47	427	185943	120	0.3	0.88	301	427	7	112	3386.1.1.4	3386	3386.1	3386.1.1	3386.1.1.4	gp9 C-terminal domain-like	NO_H_NAME	gp9 C-terminal domain-related	T4_gp9_10_C	***  tail fiber protein	***  minor tail protein	RBP8	tailspike depolymerase		0.0004042	152	3386.1.1:gp9 C-terminal domain-related	LIT_088_KL2KL37	Podovirus
LIT_088_KL2KL37_PROTEIN_47	427	2701717	393	0.61	0.88	26	287	43	386	207.2.1.83	207	207.2	207.2.1	207.2.1.83	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	Glyco_hydro_120	***  tail fiber protein	***  minor tail protein	RBP8	tailspike depolymerase		0.000485	97	207.2.1:Pectin lyase-like	LIT_088_KL2KL37	Podovirus
